n,avgIfdsExposureTime,,make,model,logValues,modelName,makeName
4#187,3.17817,0.00317817,4,187,0.502177124,DMC-FT20,Panasonic
228#2753,3.179776,0.003179776,228,2753,0.502396527,DV3300,DV3300
24#2935,3.180425,0.003180425,24,2935,0.502485159,FinePixA820,FUJIFILM
4#2298,3.181498,0.003181498,4,2298,0.502631655,DMC-LZ10,Panasonic
24#2693,3.183066,0.003183066,24,2693,0.502845644,FinePixA205,FUJIFILM
8#383,3.1853,0.0031853,8,383,0.503150342,COOLPIXS9,Nikon
4#3299,3.185725,0.003185725,4,3299,0.503208284,DMC-FX36,Panasonic
19#633,3.186095,0.003186095,19,633,0.503258721,XT1092,Motorola
4#523,3.189338,0.003189338,4,523,0.503700547,DMC-FS11,Panasonic
24#3504,3.18934,0.00318934,24,3504,0.50370082,FinePixAX280,FUJIFILM
30#2053,3.189791,0.003189791,30,2053,0.503762228,X400D580ZC460Z,OLYMPUSCORPORATION
30#2408,3.189791,0.003189791,30,2408,0.503762228,X300D565ZC450Z,OLYMPUSCORPORATION
8#785,3.190222,0.003190222,8,785,0.503820906,E2100,Nikon
24#262,3.191199,0.003191199,24,262,0.503953887,FinePixF11,FUJIFILM
10#645,3.191366,0.003191366,10,645,0.503976614,Lumia1020,Nokia
19#2380,3.19409,0.00319409,19,2380,0.504347149,DROID2GLOBAL,Motorola
24#2727,3.195342,0.003195342,24,2727,0.504517348,FinePixA600,FUJIFILM
4#985,3.196738,0.003196738,4,985,0.504707044,DMC-GH4,Panasonic
48#2255,3.199159,0.003199159,48,2255,0.505035825,EX-ZS10,CASIOCOMPUTERCO.LTD.
24#3805,3.204264,0.003204264,24,3805,0.505728291,FinePixXP20,FUJIFILM
7#1304,3.207507,0.003207507,7,1304,0.506167613,DSC-T11,Sony
7#1892,3.210045,0.003210045,7,1892,0.506511121,DSC-H70,Sony
9#2482,3.212324,0.003212324,9,2482,0.506819342,u7040S7040,OLYMPUSIMAGINGCORP.
8#3979,3.214109,0.003214109,8,3979,0.507060601,COOLPIXL26,Nikon
39#1080,3.217396,0.003217396,39,1080,0.507504518,HPPhotoSmartR707(V01.00),Hewlett-Packard
24#745,3.219383,0.003219383,24,745,0.507772646,FinePixS6800,FUJIFILM
7#960,3.22278,0.00322278,7,960,0.50823066,DSC-T33,Sony
8#1622,3.222854,0.003222854,8,1622,0.508240632,COOLPIXL110,Nikon
11#1253,3.226533,0.003226533,11,1253,0.508736111,PENTAXOptioWP,PENTAXCorporation
