n,avgIfdsBrightnessValue,make,model,modelName,makeName
24#1198,3.9364,24,1198,FinePixS3100,FUJIFILM
73#2996,3.939534884,73,2996,CaplioR5,RICOH
24#186,3.94439433,24,186,FinePixS5500,FUJIFILM
5#135,3.951461538,5,135,SAMSUNG-SGH-I777,SAMSUNG
24#1817,3.975,24,1817,FinePixZ30,FUJIFILM
24#2587,3.976666667,24,2587,FinePix4700Z,FUJIFILM
73#2116,3.996341463,73,2116,CaplioG4,RICOH
7#1298,3.998223586,7,1298,DSC-WX7,Sony
21#390,4,21,390,SP-2000,FUJIPHOTOFILMCO.LTD.
21#697,4,21,697,SLP1000SE,FUJIPHOTOFILMCO.LTD.
5#4258,4,5,4258,GT-S5560,SAMSUNG
5#311,4.003095238,5,311,GT-S8500,SAMSUNG
24#836,4.008148148,24,836,FinePixF402,FUJIFILM
7#1670,4.013397854,7,1670,DSC-TX100V,Sony
27#1588,4.019748385,27,1588,251,Hipstamatic
73#2756,4.025,73,2756,CaplioRR30,RICOH
124#1396,4.026875,124,1396,WHATISIT,WHOAMI
73#1549,4.038095238,73,1549,RICOHR10,RICOH
24#2389,4.042380952,24,2389,FinePixJZ300,FUJIFILM
24#2809,4.047142857,24,2809,FinePixA205S,FUJIFILM
24#278,4.048066281,24,278,FinePixS602ZOOM,FUJIFILM
24#1796,4.062521739,24,1796,FinePixE500,FUJIFILM
3#13,4.084820814,3,13,iPhone6,apple
24#1534,4.092372881,24,1534,FinePixS2000HD,FUJIFILM
24#1282,4.093905579,24,1282,FinePixF50fd,FUJIFILM
5#216,4.107550778,5,216,GT-N7100,SAMSUNG
102#2069,4.110842105,102,2069,MI3,Xiaomi
5#4043,4.12,5,4043,SPH-D710VMUB,SAMSUNG
5#2267,4.166688012,5,2267,GT-I9305T,SAMSUNG
24#2395,4.175,24,2395,FinePixF72EXR,FUJIFILM
15#1178,4.176947563,15,1178,HTC_PN071,HTC
39#3078,4.1796875,39,3078,HPPhotoSmartC945(V01.46),Hewlett-Packard
24#3628,4.18,24,3628,FinePixAX200,FUJIFILM
5#740,4.182676056,5,740,SGH-T989,SAMSUNG
24#2222,4.184285714,24,2222,FinePixJV200,FUJIFILM
24#512,4.191111111,24,512,FinePixHS10HS11,FUJIFILM
5#7,4.193918919,5,7,GT-I9000,SAMSUNG
24#2394,4.219722222,24,2394,FinePixF500EXR,FUJIFILM
7#1471,4.230812398,7,1471,SLT-A57,Sony
24#2060,4.232193548,24,2060,FinePixS1800,FUJIFILM
24#2461,4.239726027,24,2461,X-M1,FUJIFILM
24#996,4.24125,24,996,FinePixS5000,FUJIFILM
73#2118,4.247916667,73,2118,GXRP10,RICOH
24#2771,4.255531915,24,2771,FinePixF610,FUJIFILM
5#1731,4.256,5,1731,SM-G900T,SAMSUNG
7#228,4.263665418,7,228,DSC-RX100,Sony
73#1716,4.284259259,73,1716,CaplioGX100,RICOH
24#1910,4.290335489,24,1910,FinePixF10,FUJIFILM
24#825,4.293859649,24,825,FinePixZ100fd,FUJIFILM
5#603,4.298761792,5,603,GT-I9305,SAMSUNG
24#3754,4.305,24,3754,FinePixS2850HD,FUJIFILM
5#270,4.33033165,5,270,GT-I9505,SAMSUNG
18#3619,4.333333333,18,3619,KODAKEASYSHAREC183Digital,EASTMANKODAKCOMPANY
39#2344,4.342573529,39,2344,hpphotosmart733,Hewlett-Packard
24#4072,4.342898551,24,4072,FinePixF600EXR,FUJIFILM
15#1928,4.353895313,15,1928,HTC809d,HTC
24#3400,4.367021277,24,3400,FinePixS602,FUJIFILM
73#2797,4.369047619,73,2797,CaplioGX8,RICOH
24#1945,4.369548023,24,1945,FinePix4900ZOOM,FUJIFILM
27#502,4.373425596,27,502,260,Hipstamatic
5#25,4.37455615,5,25,GT-I9300,SAMSUNG
7#1393,4.379827029,7,1393,DSC-QX10,Sony
24#1484,4.397706422,24,1484,FinePixJ30J32J38,FUJIFILM
19#3707,4.41015625,19,3707,DROIDX00260000fff80000015a93,Motorola
39#1825,4.412031646,39,1825,PhotosmartM425,Hewlett-Packard
97#1806,4.418181818,97,1806,Camera,CAMERA
3#15,4.424368758,3,15,iPhone4,apple
7#1491,4.433647539,7,1491,SLT-A37,Sony
39#2962,4.4453125,39,2962,HPPhotoSmartC945(V01.47),Hewlett-Packard
24#1852,4.4455,24,1852,FinePix4800ZOOM,FUJIFILM
39#2941,4.445714286,39,2941,HPPhotosmartM437,Hewlett-Packard
24#4197,4.45,24,4197,FinePix700,FUJIFILM
73#1548,4.471212121,73,1548,GRDIGITAL2,RICOH
27#2358,4.485238832,27,2358,270,Hipstamatic
24#1285,4.490178571,24,1285,FinePixZ20fd,FUJIFILM
24#550,4.493333333,24,550,FinePixS5700S700,FUJIFILM
39#1454,4.493529412,39,1454,HPPhotosmartM537,Hewlett-Packard
38#450,4.493650794,38,450,DiMAGE7,MinoltaCo.Ltd.
24#2381,4.495608974,24,2381,FinePixF200EXR,FUJIFILM
24#3009,4.5,24,3009,MX-600ZOOM,FUJIFILM
61#622,4.5,61,622,NexusS,Google
38#2197,4.505633803,38,2197,DiMAGE7Hi,MinoltaCo.Ltd.
3#460,4.536836551,3,460,iPadmini,apple
5#981,4.540039063,5,981,SGH-I317M,SAMSUNG
24#2343,4.541,24,2343,FinePix4700ZOOM,FUJIFILM
50#1494,4.548863636,50,1494,DiMAGEZ2,KonicaMinoltaCameraInc.
7#1461,4.561598846,7,1461,DSC-RX1,Sony
5#1974,4.562325581,5,1974,SHV-E300K,SAMSUNG
96#1025,4.564556962,96,1025,KonicaDigitalCameraKD-400Z,KonicaCorporation
3#32,4.57316183,3,32,iPhone6Plus,apple
38#1432,4.576785714,38,1432,DiMAGEX20,MinoltaCo.Ltd.
24#1590,4.57699115,24,1590,FinePixS5800S800,FUJIFILM
5#3922,4.580543155,5,3922,SGH-I747M,SAMSUNG
24#2856,4.58125,24,2856,FinePixA200,FUJIFILM
7#1664,4.583376736,7,1664,ILCE-3000,Sony
7#444,4.589233862,7,444,DSC-TX66,Sony
24#2282,4.597793427,24,2282,FinePixF20,FUJIFILM
5#1604,4.607603843,5,1604,SAMSUNG-SGH-I317,SAMSUNG
7#684,4.60932583,7,684,SLT-A58,Sony
24#861,4.610588235,24,861,FinePixA203,FUJIFILM
5#377,4.611034483,5,377,SGH-I727,SAMSUNG
24#2966,4.644,24,2966,FinePixF45fd,FUJIFILM
24#2364,4.649784173,24,2364,X-E2,FUJIFILM
5#1969,4.64983871,5,1969,EK-KC120S,SAMSUNG
5#2502,4.667176943,5,2502,SC-02E,SAMSUNG
7#2275,4.66722405,7,2275,DSC-HX7V,Sony
24#621,4.670173913,24,621,FinePixS5Pro,FUJIFILM
24#1284,4.677609271,24,1284,FinePixZ1,FUJIFILM
39#1079,4.689777359,39,1079,HPPhotoSmartR707(V01.00)+,Hewlett-Packard
24#549,4.691666667,24,549,FinePixS2000HDS2100HD,FUJIFILM
38#2589,4.70625,38,2589,DiMAGEF200,MinoltaCo.Ltd.
38#326,4.721538462,38,326,DiMAGE7i,MinoltaCo.Ltd.
7#1886,4.721829268,7,1886,DSLR-A380,Sony
5#887,4.728580786,5,887,GT-N7000,SAMSUNG
24#3752,4.73,24,3752,FinePixAX300,FUJIFILM
7#90,4.733808734,7,90,DSC-WX50,Sony
7#1045,4.742251207,7,1045,NEX-F3,Sony
24#3837,4.743333333,24,3837,FinePixF300EXR,FUJIFILM
5#4195,4.758,5,4195,SCH-R760,SAMSUNG
5#2044,4.76002849,5,2044,SM-N900,SAMSUNG
73#1535,4.770909091,73,1535,CaplioR7,RICOH
7#212,4.771018839,7,212,NEX-5N,Sony
24#2339,4.778947368,24,2339,X10,FUJIFILM
24#396,4.781081081,24,396,FinePixS100FS,FUJIFILM
24#2591,4.787901235,24,2591,FinePixS5100,FUJIFILM
24#2944,4.794545455,24,2944,FinePixA920,FUJIFILM
24#2765,4.796666667,24,2765,FinePixA204,FUJIFILM
24#4157,4.8,24,4157,FinePixZ1000EXR,FUJIFILM
73#3668,4.8,73,3668,GXRA12,RICOH
24#1280,4.805517241,24,1280,FinePixA303,FUJIFILM
39#2998,4.872727273,39,2998,HPPhotosmartR740,Hewlett-Packard
24#3047,4.877777778,24,3047,MX-1200,FUJIFILM
7#618,4.891194282,7,618,DSC-RX100M2,Sony
41#1142,4.89137931,41,1142,DiMAGEX50,KONICAMINOLTA
154#1750,4.896,154,1750,SIGMADP1Merrill,SIGMA
113#1225,4.897115385,113,1225,DiMAGEG600,KonicaMinoltaPhotoImaging
24#2885,4.906896552,24,2885,FinePixF410,FUJIFILM
5#221,4.915173077,5,221,SM-N9005,SAMSUNG
39#2200,4.916381836,39,2200,HPPhotoSmartC945(V01.53),Hewlett-Packard
24#2834,4.918461538,24,2834,FinePixF440,FUJIFILM
24#474,4.919814189,24,474,FinePixF100fd,FUJIFILM
5#3660,4.92,5,3660,SGH-i896,SAMSUNG
24#2894,4.942857143,24,2894,FinePix1400Zoom,FUJIFILM
62#2858,4.95,62,2858,digiluxzoom,LEICA
24#2729,4.9675,24,2729,FinePixF420,FUJIFILM
7#1188,4.967912371,7,1188,NEX-6,Sony
15#777,4.968275,15,777,HTCDesireEYE,HTC
19#2148,4.974878368,19,2148,MB52573ac0022ffdc00000163af9,Motorola
7#676,4.975710507,7,676,DSC-WX150,Sony
73#2135,4.983050847,73,2135,CaplioG3modelM,RICOH
5#317,4.985966667,5,317,GT-I9100,SAMSUNG
24#2484,4.987522523,24,2484,FinePixHS20EXR,FUJIFILM
24#2645,4.99,24,2645,FinePixA101,FUJIFILM
15#4111,4.992897045,15,4111,HTC802d,HTC
41#2697,4.997674419,41,2697,DiMAGEZ5,KONICAMINOLTA
24#610,5,24,610,FinePixS1500,FUJIFILM
24#823,5,24,823,FinePixS1000fd,FUJIFILM
24#2973,5,24,2973,FinePixA370,FUJIFILM
24#3184,5,24,3184,A850,FUJIFILM
24#3187,5,24,3187,A860,FUJIFILM
24#3305,5,24,3305,FinePixJ210,FUJIFILM
24#3317,5,24,3317,FinePixJ150W,FUJIFILM
24#3391,5,24,3391,FinePixJ110W,FUJIFILM
24#3573,5,24,3573,FinePixJ120,FUJIFILM
153#3858,5,153,3858,E1255W,GeneralImagingCo.
51#447,5.011428571,51,447,ND-5040DigitalCamera,DigitalCamera
24#3647,5.017777778,24,3647,FinePixREAL3DW3,FUJIFILM
7#742,5.017818406,7,742,DSC-HX20V,Sony
24#2711,5.021764706,24,2711,FinePix40i,FUJIFILM
24#837,5.025510204,24,837,FinePixZ10fd,FUJIFILM
24#1772,5.028915663,24,1772,FinePixAV150,FUJIFILM
38#265,5.029032258,38,265,DiMAGES414,MinoltaCo.Ltd.
41#2582,5.02952381,41,2582,MAXXUM7D,KONICAMINOLTA
24#4026,5.03,24,4026,FinePixT400,FUJIFILM
24#4132,5.03,24,4132,FinePixS2940/Walmart,FUJIFILM
5#673,5.037185185,5,673,SM-G900V,SAMSUNG
24#2916,5.04,24,2916,FinePixA201,FUJIFILM
24#2963,5.051020408,24,2963,FinePixA510,FUJIFILM
5#541,5.053241107,5,541,SM-G900F,SAMSUNG
41#1918,5.060864198,41,1918,DYNAX7D,KONICAMINOLTA
5#744,5.075,5,744,GT-I8700,SAMSUNG
24#3504,5.076875,24,3504,FinePixAX280,FUJIFILM
19#3981,5.083864796,19,3981,MB612,Motorola
5#1798,5.08601447,5,1798,GT-N7105,SAMSUNG
5#703,5.089342806,5,703,EK-GC100,SAMSUNG
5#388,5.09372093,5,388,SPH-D710,SAMSUNG
24#2727,5.096142857,24,2727,FinePixA600,FUJIFILM
24#2440,5.112439024,24,2440,FinePixZ80,FUJIFILM
24#970,5.1275,24,970,FinePixS7000,FUJIFILM
24#2768,5.136842105,24,2768,FinePix6900ZOOM,FUJIFILM
39#2352,5.155913978,39,2352,HPPhotosmartE317,Hewlett-Packard
24#1626,5.163656716,24,1626,FinePixS6500fd,FUJIFILM
24#2640,5.176875,24,2640,FinePix3800,FUJIFILM
5#3672,5.184432359,5,3672,SCH-I510,SAMSUNG
24#2174,5.185393258,24,2174,FinePixS8100fd,FUJIFILM
24#129,5.195555556,24,129,FinePixF470,FUJIFILM
5#2091,5.202222222,5,2091,GT-I9001,SAMSUNG
27#1091,5.206929719,27,1091,261,Hipstamatic
5#1842,5.217853001,5,1842,GT-i8910,SAMSUNG
38#792,5.221052632,38,792,DiMAGEXt,MinoltaCo.Ltd.
3#3617,5.23567222,3,3617,iPad2,apple
5#2261,5.245758512,5,2261,SC-04E,SAMSUNG
7#1544,5.250852273,7,1544,DSC-TX30,Sony
24#3645,5.255,24,3645,FinePixAX245w,FUJIFILM
7#3490,5.258166667,7,3490,DSLR-A290,Sony
73#2651,5.261428571,73,2651,CaplioGX,RICOH
19#3632,5.263020833,19,3632,DROIDX60420001ffd800000a3a95,Motorola
5#672,5.268836806,5,672,SCH-I605,SAMSUNG
5#2094,5.27,5,2094,SGH-I717D,SAMSUNG
39#1080,5.279187694,39,1080,HPPhotoSmartR707(V01.00),Hewlett-Packard
73#1737,5.288764045,73,1737,GRDIGITAL4,RICOH
24#1908,5.296530612,24,1908,FinePixA340,FUJIFILM
36#305,5.3,36,305,GR,PENTAXRICOHIMAGING
39#3041,5.3022,39,3041,HPPhotosmartM540,Hewlett-Packard
24#2796,5.314347826,24,2796,FinePixS9000,FUJIFILM
24#1235,5.320297872,24,1235,FinePixS1730,FUJIFILM
39#1691,5.321226729,39,1691,HPPhotoSmartR607(V01.00),Hewlett-Packard
7#490,5.335761895,7,490,DSC-HX50V,Sony
3#4,5.33592153,3,4,iPhone5,apple
7#1517,5.336652132,7,1517,DSC-HX200V,Sony
7#306,5.340355985,7,306,ILCE-6000,Sony
39#2177,5.354545455,39,2177,HPPhotosmartE327,Hewlett-Packard
73#2122,5.357142857,73,2122,CaplioG4wide,RICOH
24#2937,5.36037037,24,2937,FinePixA800,FUJIFILM
7#66,5.362442242,7,66,ILCE-7,Sony
50#1056,5.371666667,50,1056,DiMAGEXg,KonicaMinoltaCameraInc.
51#2666,5.376923077,51,2666,DigitalCamera,DigitalCamera
38#1039,5.380898876,38,1039,DiMAGEZ1,MinoltaCo.Ltd.
7#229,5.381894003,7,229,NEX-3N,Sony
3#34,5.386185494,3,34,iPhone5s,apple
7#432,5.390893992,7,432,NEX-7,Sony
3#31,5.39181586,3,31,iPhone4S,apple
24#1719,5.395112847,24,1719,FinePixS304,FUJIFILM
3#1082,5.395366007,3,1082,iPodtouch,apple
24#1564,5.402792793,24,1564,FinePixS2950,FUJIFILM
24#2713,5.405102041,24,2713,FinePixS5200,FUJIFILM
24#1611,5.416666667,24,1611,FinePixA345,FUJIFILM
5#980,5.41875,5,980,GT-I9100M,SAMSUNG
50#478,5.419178082,50,478,DiMAGEG400,KonicaMinoltaCameraInc.
24#3788,5.438333333,24,3788,FinePixS3200,FUJIFILM
73#2661,5.44,73,2661,CaplioRX,RICOH
73#1095,5.450393701,73,1095,RICOHGX200,RICOH
24#1197,5.462914286,24,1197,FinePixS3000,FUJIFILM
24#4189,5.47,24,4189,FinePixAX250,FUJIFILM
7#1529,5.473256775,7,1529,DSC-HX10V,Sony
19#3823,5.48046875,19,3823,MB52501580002ffdc00000167f93,Motorola
7#86,5.482118443,7,86,SLT-A77V,Sony
24#1294,5.502592593,24,1294,FinePixJ50,FUJIFILM
24#2142,5.508039216,24,2142,FinePixJX370,FUJIFILM
24#1143,5.508125,24,1143,FinePixJV160,FUJIFILM
24#989,5.508285714,24,989,FinePixA210,FUJIFILM
24#4160,5.52,24,4160,FinePixHS50EXR,FUJIFILM
24#2817,5.522758621,24,2817,FinePixV10,FUJIFILM
5#256,5.527307692,5,256,SM-N900V,SAMSUNG
15#1805,5.534072243,15,1805,HTCOnemini,HTC
7#2268,5.534310345,7,2268,DSLR-A850,Sony
154#3814,5.536956522,154,3814,SIGMASD1Merrill,SIGMA
19#1803,5.544471154,19,1803,A853,Motorola
27#500,5.545601597,27,500,236,Hipstamatic
24#2466,5.551363636,24,2466,FinePixS4200,FUJIFILM
5#134,5.556069712,5,134,SAMSUNG-SGH-I337,SAMSUNG
7#510,5.564245401,7,510,DSC-HX50,Sony
3#598,5.565674067,3,598,iPadAir,apple
18#2064,5.571428571,18,2064,KODAKEASYSHAREC143Digital,EASTMANKODAKCOMPANY
24#2791,5.572,24,2791,FinePix2300,FUJIFILM
7#786,5.576169727,7,786,DSC-HX9V,Sony
3#63,5.578866052,3,63,iPad,apple
41#2162,5.601282051,41,2162,DiMAGEZ10,KONICAMINOLTA
39#2604,5.6015625,39,2604,HPPhotoSmartR717(V01.00)+,Hewlett-Packard
24#1863,5.607571429,24,1863,FinePixS8200,FUJIFILM
24#2459,5.614038462,24,2459,FinePixS2980,FUJIFILM
39#1428,5.618603888,39,1428,HPPhotoSmartR707(V01.00)d,Hewlett-Packard
24#2786,5.6225,24,2786,FinePixA700,FUJIFILM
5#77,5.624112216,5,77,SCH-I545,SAMSUNG
24#2468,5.634027778,24,2468,FinePix2600Zoom,FUJIFILM
19#3578,5.642578125,19,3578,DROIDX02a20001fff80000015d7d,Motorola
24#1785,5.645132743,24,1785,FinePixS4400,FUJIFILM
24#2702,5.647894737,24,2702,FinePixF450,FUJIFILM
73#2214,5.652777778,73,2214,CaplioR2,RICOH
41#1328,5.659210526,41,1328,DiMAGEZ6,KONICAMINOLTA
24#745,5.675,24,745,FinePixS6800,FUJIFILM
39#3689,5.7109375,39,3689,HPPhotosmartM23(V01.00),Hewlett-Packard
38#2616,5.725,38,2616,DiMAGEA1,MinoltaCo.Ltd.
7#1216,5.730811474,7,1216,SLT-A65V,Sony
7#750,5.731139082,7,750,DSC-WX100,Sony
24#2644,5.735777778,24,2644,FinePix2800ZOOM,FUJIFILM
3#87,5.743281484,3,87,iPhone5c,apple
24#3909,5.75,24,3909,FinePixS2940WM,FUJIFILM
5#511,5.755695067,5,511,SM-C101,SAMSUNG
24#3851,5.76,24,3851,FinePixAX350,FUJIFILM
178#2121,5.763636364,178,2121,V3935DigitalCamera,VivitarCorporation
24#3612,5.7775,24,3612,FinePixS2800HD,FUJIFILM
37#258,5.793584333,37,258,Cymera,SKcommunications
39#2828,5.803013393,39,2828,HPPhotoSmartC945(V01.60),Hewlett-Packard
24#2452,5.817590909,24,2452,X20,FUJIFILM
41#1696,5.833333333,41,1696,DiMAGEA200,KONICAMINOLTA
24#919,5.873111111,24,919,FinePixS9600,FUJIFILM
5#1018,5.9,5,1018,GT-P1000,SAMSUNG
7#2010,5.900603693,7,2010,SLT-A99V,Sony
7#2332,5.905078125,7,2332,DSC-WX30,Sony
24#874,5.929863014,24,874,FinePixA330,FUJIFILM
24#2143,5.932142857,24,2143,FinePixJX400,FUJIFILM
5#2019,5.934851395,5,2019,GT-M8800,SAMSUNG
39#1567,5.935709635,39,1567,HPPhotoSmartR927(V01.00)+,Hewlett-Packard
24#1160,5.946321244,24,1160,FinePixF40fd,FUJIFILM
24#1460,5.949375,24,1460,FinePixT300,FUJIFILM
19#3711,5.953125,19,3711,DROID2GLOBAL3fa60001ffd8000,Motorola
27#2359,5.956297752,27,2359,271,Hipstamatic
24#3920,5.96,24,3920,FinePixF550EXR,FUJIFILM
24#1038,5.966666667,24,1038,FinePixS1700,FUJIFILM
24#2442,5.995267176,24,2442,FinePixS4500,FUJIFILM
39#2054,5.998029891,39,2054,HPPhotoSmartR607(V01.00)+,Hewlett-Packard
24#1005,6,24,1005,FinePixA350,FUJIFILM
202#3033,6,202,3033,DS6639,OregonScientific
5#3603,6,5,3603,SGH-T849,SAMSUNG
24#991,6.0032,24,991,FinePixS5600,FUJIFILM
24#2065,6.016290323,24,2065,FinePixS1600,FUJIFILM
24#3429,6.018556701,24,3429,FinePixS200EXR,FUJIFILM
39#3051,6.0224,39,3051,HPPhotosmartE330,Hewlett-Packard
24#3706,6.028888889,24,3706,FinePixS2750HD,FUJIFILM
39#1521,6.029641544,39,1521,HPPhotoSmartC945(V01.67),Hewlett-Packard
24#2160,6.031301775,24,2160,X-S1,FUJIFILM
5#1492,6.031481481,5,1492,GT-I9100P,SAMSUNG
19#3878,6.033408717,19,3878,DROID231fc0001fff80000015d67,Motorola
24#2723,6.038659794,24,2723,FinePixA500,FUJIFILM
24#1131,6.040191571,24,1131,FinePixF700,FUJIFILM
24#2746,6.044098361,24,2746,FinePixA610,FUJIFILM
39#1152,6.044767681,39,1152,HPPhotoSmartR927(V01.00),Hewlett-Packard
39#283,6.049640625,39,283,HPPhotosmartM630,Hewlett-Packard
250#1270,6.05,250,1270,DSC,DSC_Maker
5#2393,6.060972045,5,2393,SAMSUNG-SGH-I747,SAMSUNG
27#501,6.067195282,27,501,256,Hipstamatic
27#1589,6.071413194,27,1589,252,Hipstamatic
15#2086,6.0728064,15,2086,HTC0PFH11,HTC
24#922,6.076823529,24,922,FinePixS9500,FUJIFILM
27#1092,6.078910246,27,1092,262,Hipstamatic
73#3316,6.085714286,73,3316,CaplioR30,RICOH
39#2565,6.091470588,39,2565,HPPhotoSmartC812(V09.33),Hewlett-Packard
73#3112,6.1,73,3112,CaplioR1V,RICOH
24#3460,6.103478261,24,3460,FujifilmA220A230,FUJIFILM
39#2218,6.104765625,39,2218,HPPhotoSmartR817(V01.00),Hewlett-Packard
73#2685,6.125,73,2685,CaplioR1,RICOH
7#1651,6.129845412,7,1651,DSC-HX300,Sony
5#4006,6.135,5,4006,SGH-T989D,SAMSUNG
24#3811,6.138571429,24,3811,FinePixS2960,FUJIFILM
42#305,6.153125,42,305,GR,RICOHIMAGINGCOMPANYLTD.
62#3080,6.1635,62,3080,digilux4.3,LEICA
7#114,6.174640022,7,114,DSC-HX100V,Sony
39#3207,6.177083333,39,3207,HPPhotoSmartR818(V01.00),Hewlett-Packard
7#3919,6.19296875,7,3919,MODEL-NAME,Sony
24#3480,6.216486486,24,3480,FinePix4500,FUJIFILM
27#1242,6.217871053,27,1242,265,Hipstamatic
27#1673,6.236059434,27,1673,230,Hipstamatic
203#2437,6.238230769,203,2437,Spca533,Sunplus
7#332,6.242609069,7,332,NEX-5T,Sony
73#2463,6.244444444,73,2463,CX2,RICOH
24#2141,6.2659375,24,2141,FinePixJX250,FUJIFILM
24#1524,6.27375,24,1524,FinePixAX560,FUJIFILM
24#4010,6.279041096,24,4010,FinePixS4300,FUJIFILM
24#2636,6.285180723,24,2636,FinePixA310,FUJIFILM
24#1559,6.289333333,24,1559,FinePixF455,FUJIFILM
24#3127,6.292280702,24,3127,FinePixF601,FUJIFILM
73#3178,6.333333333,73,3178,CaplioG3modelS,RICOH
19#4292,6.33984375,19,4292,MB526,Motorola
39#2914,6.34375,39,2914,HPPhotoSmartC945(V01.39),Hewlett-Packard
38#775,6.35,38,775,DiMAGEF300,MinoltaCo.Ltd.
24#578,6.351428571,24,578,FinePix6800ZOOM,FUJIFILM
24#3292,6.354545455,24,3292,FinePix1500,FUJIFILM
24#1249,6.358730159,24,1249,FinePixZ33WP,FUJIFILM
39#2092,6.362980769,39,2092,HPPhotoSmartR717(V01.00),Hewlett-Packard
24#3977,6.383333333,24,3977,FinePixT200,FUJIFILM
5#1456,6.39375,5,1456,SM-G900H,SAMSUNG
24#2232,6.402631579,24,2232,FinePixS2500HD,FUJIFILM
24#2204,6.417241379,24,2204,FinePixSL300,FUJIFILM
24#2949,6.423333333,24,2949,FinePixA607,FUJIFILM
24#2460,6.446923077,24,2460,FinePixSL260,FUJIFILM
7#677,6.448401283,7,677,DSC-WX350,Sony
39#2201,6.454,39,2201,HPPhotosmartE427,Hewlett-Packard
7#674,6.487774493,7,674,DSC-RX100M3,Sony
7#752,6.493523023,7,752,DSC-HX30V,Sony
41#288,6.496721311,41,288,DiMAGEX60,KONICAMINOLTA
39#1479,6.501213121,39,1479,HPPhotosmartR960(V01.00),Hewlett-Packard
38#880,6.523809524,38,880,DiMAGEXi,MinoltaCo.Ltd.
24#835,6.523878788,24,835,FinePixF70EXR,FUJIFILM
24#3767,6.536,24,3767,FinePixS3400,FUJIFILM
38#355,6.556,38,355,DiMAGEF100,MinoltaCo.Ltd.
24#3061,6.568893229,24,3061,FinePixF710,FUJIFILM
41#1801,6.570588235,41,1801,DiMAGEX1,KONICAMINOLTA
5#1871,6.584472656,5,1871,SGH-T889,SAMSUNG
24#644,6.588083333,24,644,FinePixHS30EXR,FUJIFILM
5#2455,6.602954545,5,2455,EK-GC110,SAMSUNG
73#2131,6.609375,73,2131,CX1,RICOH
24#906,6.64477707,24,906,FinePix2400Zoom,FUJIFILM
24#487,6.646111111,24,487,FinePixXP50,FUJIFILM
24#4018,6.654666667,24,4018,FinePixAX500,FUJIFILM
5#2045,6.67990991,5,2045,SM-N910U,SAMSUNG
19#3607,6.6953125,19,3607,DROIDX61e40001fff80000015d9b,Motorola
24#3883,6.7,24,3883,FujifilmA160,FUJIFILM
41#2722,6.711428571,41,2722,DiMAGEZ20,KONICAMINOLTA
24#1046,6.7125,24,1046,FinePix50i,FUJIFILM
19#4262,6.71875,19,4262,MB52527e40002ffdc00000163b70,Motorola
73#1290,6.728947368,73,1290,CaplioR6,RICOH
50#2629,6.733333333,50,2629,DiMAGEX21,KonicaMinoltaCameraInc.
7#93,6.733423295,7,93,DSC-WX300,Sony
24#2670,6.760232558,24,2670,FinePixE900,FUJIFILM
39#933,6.7775,39,933,hpphotosmart735,Hewlett-Packard
156#3819,6.8,156,3819,PDR-M1,TOSHIBA
24#120,6.820555556,24,120,FinePixF770EXR,FUJIFILM
24#4103,6.83,24,4103,FinePixXP170,FUJIFILM
154#3671,6.905,154,3671,SIGMASD1,SIGMA
27#1090,6.920486179,27,1090,255,Hipstamatic
7#863,6.930853939,7,863,DSC-TX10,Sony
41#1756,6.948888889,41,1756,DiMAGEX31,KONICAMINOLTA
19#3649,6.94921875,19,3649,DROIDX2e7c0002ffd80000015f0c,Motorola
5#2273,6.965,5,2273,SM-G900FD,SAMSUNG
24#2057,6.965454545,24,2057,FinePixS3300,FUJIFILM
310#4,6.972551466,310,4,iPhone5,Lotogram
24#2674,6.9945,24,2674,FinePix1300,FUJIFILM
73#4171,7,73,4171,G700SE,RICOH
7#732,7.009825029,7,732,DSC-TX20,Sony
310#15,7.042346407,310,15,iPhone4,Lotogram
73#3450,7.05,73,3450,GXR,RICOH
24#2633,7.075,24,2633,MX-1700ZOOM,FUJIFILM
24#2909,7.098,24,2909,FinePixA120,FUJIFILM
24#1924,7.107758621,24,1924,FinePixS3500,FUJIFILM
24#2406,7.114754098,24,2406,MX-1500,FUJIFILM
27#1093,7.115584695,27,1093,267,Hipstamatic
24#3774,7.131428571,24,3774,FinePixL50,FUJIFILM
24#2677,7.164666667,24,2677,FinePixA405,FUJIFILM
18#1302,7.2,18,1302,KODAKEASYSHAREC195Digital,EASTMANKODAKCOMPANY
24#3438,7.2,24,3438,FinePixZ200fd,FUJIFILM
7#2300,7.248370296,7,2300,DSC-HX400V,Sony
7#2037,7.270511968,7,2037,DSC-TX300V,Sony
24#2888,7.277777778,24,2888,MX-2700,FUJIFILM
73#2138,7.2875,73,2138,CX5,RICOH
24#2067,7.315,24,2067,FinePixS1850,FUJIFILM
24#4211,7.32,24,4211,FinePixF660EXR,FUJIFILM
27#1207,7.366687116,27,1207,250,Hipstamatic
24#3805,7.402413793,24,3805,FinePixXP20,FUJIFILM
44#408,7.410241379,44,408,DS309,
139#1572,7.444117647,139,1572,x530,Polaroid
39#4083,7.4765625,39,4083,HPPhotoSmartC945(V01.66),Hewlett-Packard
24#3019,7.5,24,3019,FinePixA360,FUJIFILM
73#2839,7.5,73,2839,CaplioProG3,RICOH
24#4280,7.51,24,4280,FinePixJX420,FUJIFILM
24#4116,7.513333333,24,4116,FinePixS4800,FUJIFILM
